filepath,filename,client_id,project_id,chunk_index,reason,file_fingerprint,assign_method,assign_confidence
/workspaces/docex/src/webapp/assistants/project_assistant/tools/chatbot/data/overige_documenten/1_Technische_omschrijving_C008.pdf,1_Technische_omschrijving_C008.pdf,C008,UNKNOWN,,no_text_ocr_needed,8403d6700c5ad8981875f8f2f0bdcfb32e72541d,filename_or_meta,0.2
/workspaces/docex/src/webapp/assistants/project_assistant/tools/chatbot/data/overige_documenten/2_Staat_van_wijziging_C001.pdf,2_Staat_van_wijziging_C001.pdf,C001,UNKNOWN,,no_text_ocr_needed,fa49ea91600fcb008d02a73d92e7574c8935a0a1,filename_or_meta,0.2
/workspaces/docex/src/webapp/assistants/project_assistant/tools/chatbot/data/overige_documenten/2_Staat_van_wijziging_C002.pdf,2_Staat_van_wijziging_C002.pdf,C002,UNKNOWN,,no_text_ocr_needed,7eb8bb45cb2f21e57e7c42334d342b11e8077a02,filename_or_meta,0.2
/workspaces/docex/src/webapp/assistants/project_assistant/tools/chatbot/data/overige_documenten/2_Staat_van_wijziging_C003.pdf,2_Staat_van_wijziging_C003.pdf,C003,UNKNOWN,,no_text_ocr_needed,8ba3d93fbdae8b7e591f800b7241bc8ced78c054,filename_or_meta,0.2
/workspaces/docex/src/webapp/assistants/project_assistant/tools/chatbot/data/overige_documenten/2_Staat_van_wijziging_C004.pdf,2_Staat_van_wijziging_C004.pdf,C004,UNKNOWN,,no_text_ocr_needed,bf4488fc45f35c456d6e2c492a45411777e62ad9,filename_or_meta,0.2
/workspaces/docex/src/webapp/assistants/project_assistant/tools/chatbot/data/overige_documenten/2_Staat_van_wijziging_C005.pdf,2_Staat_van_wijziging_C005.pdf,C005,UNKNOWN,,no_text_ocr_needed,c486ba36aede45ba6e9f44b5203adfb27e63446e,filename_or_meta,0.2
/workspaces/docex/src/webapp/assistants/project_assistant/tools/chatbot/data/overige_documenten/2_Staat_van_wijziging_C006.pdf,2_Staat_van_wijziging_C006.pdf,C006,UNKNOWN,,no_text_ocr_needed,31540827452b77ee0ad45b7c92d2c92d7837f354,filename_or_meta,0.2
/workspaces/docex/src/webapp/assistants/project_assistant/tools/chatbot/data/overige_documenten/2_Staat_van_wijziging_C007.pdf,2_Staat_van_wijziging_C007.pdf,C007,UNKNOWN,,no_text_ocr_needed,10479223009ddb88eb4bc74c19fd64c529ceb52b,filename_or_meta,0.2
/workspaces/docex/src/webapp/assistants/project_assistant/tools/chatbot/data/overige_documenten/2_Staat_van_wijziging_C008.pdf,2_Staat_van_wijziging_C008.pdf,C008,UNKNOWN,,no_text_ocr_needed,6b27184ebc4febb2913854d6a1ecde51acd41b53,filename_or_meta,0.2
/workspaces/docex/src/webapp/assistants/project_assistant/tools/chatbot/data/overige_documenten/3_Woninggebonden_documenten_C001.pdf,3_Woninggebonden_documenten_C001.pdf,C001,UNKNOWN,,no_text_ocr_needed,1a7760b5b4f7a5f087e0e18b6b3bb0fd8ae1ad0f,filename_or_meta,0.2
/workspaces/docex/src/webapp/assistants/project_assistant/tools/chatbot/data/overige_documenten/3_Woninggebonden_documenten_C002.pdf,3_Woninggebonden_documenten_C002.pdf,C002,UNKNOWN,,no_text_ocr_needed,fca76a09b9c6842892b47569252826284edf9c12,filename_or_meta,0.2
/workspaces/docex/src/webapp/assistants/project_assistant/tools/chatbot/data/overige_documenten/3_Woninggebonden_documenten_C003.pdf,3_Woninggebonden_documenten_C003.pdf,C003,UNKNOWN,,no_text_ocr_needed,6a81861bd8b60a50175bea798c8e572e0396365d,filename_or_meta,0.2
